ON_VS_PLAYER_NAME,ON_GP,ON_W,ON_L,ON_W_PCT,ON_MIN,ON_PCT_FGA_2PT,ON_PCT_FGA_3PT,ON_PCT_PTS_2PT,ON_PCT_PTS_2PT_MR,ON_PCT_PTS_3PT,ON_PCT_PTS_FB,ON_PCT_PTS_FT,ON_PCT_PTS_OFF_TOV,ON_PCT_PTS_PAINT,ON_PCT_AST_2PM,ON_PCT_UAST_2PM,ON_PCT_AST_3PM,ON_PCT_UAST_3PM,ON_PCT_AST_FGM,ON_PCT_UAST_FGM,ON_GP_RANK,ON_W_RANK,ON_L_RANK,ON_W_PCT_RANK,ON_MIN_RANK,ON_PCT_FGA_2PT_RANK,ON_PCT_FGA_3PT_RANK,ON_PCT_PTS_2PT_RANK,ON_PCT_PTS_2PT_MR_RANK,ON_PCT_PTS_3PT_RANK,ON_PCT_PTS_FB_RANK,ON_PCT_PTS_FT_RANK,ON_PCT_PTS_OFF_TOV_RANK,ON_PCT_PTS_PAINT_RANK,ON_PCT_AST_2PM_RANK,ON_PCT_UAST_2PM_RANK,ON_PCT_AST_3PM_RANK,ON_PCT_UAST_3PM_RANK,ON_PCT_AST_FGM_RANK,ON_PCT_UAST_FGM_RANK,OFF_GP,OFF_W,OFF_L,OFF_W_PCT,OFF_MIN,OFF_PCT_FGA_2PT,OFF_PCT_FGA_3PT,OFF_PCT_PTS_2PT,OFF_PCT_PTS_2PT_MR,OFF_PCT_PTS_3PT,OFF_PCT_PTS_FB,OFF_PCT_PTS_FT,OFF_PCT_PTS_OFF_TOV,OFF_PCT_PTS_PAINT,OFF_PCT_AST_2PM,OFF_PCT_UAST_2PM,OFF_PCT_AST_3PM,OFF_PCT_UAST_3PM,OFF_PCT_AST_FGM,OFF_PCT_UAST_FGM,OFF_GP_RANK,OFF_W_RANK,OFF_L_RANK,OFF_W_PCT_RANK,OFF_MIN_RANK,OFF_PCT_FGA_2PT_RANK,OFF_PCT_FGA_3PT_RANK,OFF_PCT_PTS_2PT_RANK,OFF_PCT_PTS_2PT_MR_RANK,OFF_PCT_PTS_3PT_RANK,OFF_PCT_PTS_FB_RANK,OFF_PCT_PTS_FT_RANK,OFF_PCT_PTS_OFF_TOV_RANK,OFF_PCT_PTS_PAINT_RANK,OFF_PCT_AST_2PM_RANK,OFF_PCT_UAST_2PM_RANK,OFF_PCT_AST_3PM_RANK,OFF_PCT_UAST_3PM_RANK,OFF_PCT_AST_FGM_RANK,OFF_PCT_UAST_FGM_RANK,split
"Anderson, Ryan",2,1,1,0.5,7,0.304,0.696,0.195,0.049,0.732,0.073,0.073,0.146,0.146,0.25,0.75,0.8,0.2,0.643,0.357,15,15,1,15,15,15,1,15,2,1,13,15,9,15,15,1,1,15,1,15,13,10,3,0.769,46.9,0.493,0.507,0.416,0.031,0.388,0.129,0.196,0.158,0.385,0.446,0.554,0.634,0.366,0.518,0.482,18,17,1,1,5,16,3,16,17,5,4,1,4,16,8,11,15,4,11,8,With
"Capela, Clint",39,22,17,0.564,32.8,0.555,0.445,0.47,0.046,0.367,0.138,0.163,0.154,0.424,0.481,0.519,0.643,0.357,0.537,0.463,7,7,13,14,4,2,14,2,3,12,2,11,7,2,2,14,10,6,5,11,47,29,18,0.617,21,0.482,0.518,0.41,0.036,0.396,0.101,0.194,0.15,0.374,0.395,0.605,0.662,0.338,0.499,0.501,1,1,4,3,15,17,2,17,16,2,17,2,14,17,18,1,4,15,17,2,With
"Chandler, Tyson",25,15,10,0.6,8.8,0.488,0.512,0.391,0.044,0.387,0.118,0.221,0.173,0.347,0.358,0.642,0.5,0.5,0.415,0.585,10,10,6,11,13,11,5,14,4,7,8,2,2,14,13,3,15,1,15,1,47,29,18,0.617,43.5,0.527,0.473,0.448,0.041,0.379,0.122,0.172,0.15,0.407,0.453,0.547,0.668,0.332,0.531,0.469,1,1,4,3,6,7,12,5,12,13,8,15,13,5,5,14,3,16,4,15,With
"Clark, Gary",18,12,6,0.667,11.8,0.44,0.56,0.394,0.042,0.443,0.063,0.163,0.131,0.352,0.442,0.558,0.744,0.256,0.571,0.429,13,13,3,2,10,14,2,13,7,3,14,12,15,13,8,8,2,14,2,14,35,24,11,0.686,42.2,0.524,0.476,0.439,0.039,0.385,0.133,0.176,0.159,0.401,0.454,0.546,0.613,0.387,0.513,0.487,16,16,3,2,9,11,8,14,15,8,3,12,3,12,4,15,17,2,14,5,With
"Clemons, Chris",26,17,9,0.654,8.9,0.446,0.554,0.415,0.034,0.451,0.061,0.133,0.152,0.381,0.468,0.532,0.62,0.38,0.532,0.468,9,9,5,3,12,13,3,11,13,2,15,14,8,11,4,12,12,4,7,9,47,29,18,0.617,43.3,0.532,0.468,0.446,0.042,0.373,0.128,0.182,0.152,0.404,0.443,0.557,0.656,0.344,0.519,0.481,1,1,4,3,7,6,13,6,8,15,5,6,10,6,11,8,7,12,9,10,With
"Frazier, Michael",5,3,2,0.6,8,0.493,0.507,0.429,0.041,0.337,0.133,0.235,0.184,0.388,0.333,0.667,0.636,0.364,0.438,0.563,14,14,2,11,14,10,6,9,8,14,3,1,1,9,14,2,11,5,14,2,47,29,18,0.617,47.4,0.524,0.476,0.443,0.041,0.381,0.122,0.176,0.151,0.402,0.447,0.553,0.652,0.348,0.522,0.478,1,1,4,3,4,10,9,9,9,9,12,11,11,9,7,12,10,9,6,13,With
"Gordon, Eric",23,13,10,0.565,30,0.518,0.482,0.439,0.033,0.355,0.122,0.206,0.142,0.407,0.437,0.563,0.721,0.279,0.536,0.464,11,12,6,13,6,5,11,6,14,13,7,3,13,5,9,7,3,13,6,10,47,29,18,0.617,33.5,0.526,0.474,0.444,0.045,0.391,0.122,0.164,0.156,0.399,0.449,0.551,0.624,0.376,0.514,0.486,1,1,4,3,11,8,11,7,4,3,11,17,6,13,6,13,16,3,13,6,With
"Harden, James",44,28,16,0.636,37.1,0.517,0.483,0.43,0.036,0.378,0.125,0.192,0.156,0.395,0.462,0.538,0.606,0.394,0.515,0.485,3,3,11,6,1,6,10,8,11,9,6,4,6,7,5,11,14,2,10,6,47,29,18,0.617,13.5,0.54,0.46,0.473,0.055,0.387,0.115,0.14,0.141,0.418,0.407,0.593,0.762,0.238,0.533,0.467,1,1,4,3,17,4,15,2,1,7,14,18,16,4,16,3,1,18,2,17,With
"Hartenstein, Isaiah",20,14,6,0.7,12.4,0.505,0.495,0.455,0.032,0.396,0.092,0.149,0.146,0.423,0.497,0.503,0.614,0.386,0.54,0.46,12,11,3,1,9,7,9,3,15,6,12,13,10,3,1,15,13,3,3,13,47,29,18,0.617,42.9,0.526,0.474,0.441,0.043,0.378,0.125,0.181,0.153,0.399,0.439,0.561,0.657,0.343,0.518,0.482,1,1,4,3,8,9,10,13,7,14,6,7,7,14,13,6,5,14,10,9,With
"House Jr., Danuel",41,25,16,0.61,30.4,0.532,0.468,0.453,0.04,0.375,0.129,0.173,0.157,0.413,0.477,0.523,0.649,0.351,0.538,0.462,5,5,11,10,5,4,12,4,9,11,4,8,5,4,3,13,8,8,4,12,47,29,18,0.617,21.7,0.513,0.487,0.43,0.043,0.387,0.112,0.183,0.145,0.388,0.404,0.596,0.654,0.346,0.498,0.502,1,1,4,3,14,14,5,15,6,6,15,4,15,15,17,2,9,10,18,1,With
"McLemore, Ben",47,29,18,0.617,23.7,0.495,0.505,0.419,0.035,0.415,0.106,0.166,0.146,0.385,0.417,0.583,0.648,0.352,0.509,0.491,1,1,14,8,7,9,7,10,12,4,10,10,11,10,10,6,9,7,11,5,47,29,18,0.617,24.5,0.551,0.449,0.467,0.048,0.345,0.138,0.188,0.158,0.419,0.471,0.529,0.656,0.344,0.532,0.468,1,1,4,3,13,2,17,4,2,18,2,3,5,3,2,17,6,13,3,16,With
"Rivers, Austin",43,28,15,0.651,23.6,0.499,0.501,0.414,0.038,0.414,0.099,0.171,0.136,0.376,0.375,0.625,0.664,0.336,0.49,0.51,4,3,9,4,8,8,8,12,10,5,11,9,14,12,11,5,6,10,12,4,47,29,18,0.617,26.7,0.543,0.457,0.467,0.044,0.351,0.141,0.182,0.166,0.423,0.499,0.501,0.639,0.361,0.546,0.454,1,1,4,3,12,3,16,3,5,16,1,5,2,2,1,18,14,5,1,18,With
"Sefolosha, Thabo",31,20,11,0.645,10.2,0.463,0.537,0.437,0.044,0.378,0.111,0.185,0.161,0.393,0.363,0.637,0.67,0.33,0.475,0.525,8,8,8,5,11,12,4,7,5,8,9,5,4,8,12,4,5,11,13,3,47,29,18,0.617,41.5,0.533,0.467,0.444,0.041,0.381,0.124,0.176,0.15,0.403,0.458,0.542,0.649,0.351,0.527,0.473,1,1,4,3,10,5,14,8,13,10,7,13,12,7,3,16,13,6,5,14,With
"Tucker, P.J.",47,29,18,0.617,35,0.533,0.467,0.443,0.042,0.377,0.127,0.18,0.146,0.401,0.452,0.548,0.65,0.35,0.524,0.476,1,1,14,8,3,3,13,5,6,10,5,6,12,6,7,9,7,9,9,7,47,29,18,0.617,13.2,0.498,0.502,0.443,0.04,0.389,0.108,0.169,0.167,0.403,0.429,0.571,0.655,0.345,0.513,0.487,1,1,4,3,18,15,4,10,14,4,16,16,1,8,15,4,8,11,15,4,With
"Westbrook, Russell",40,25,15,0.625,35.8,0.573,0.427,0.487,0.057,0.337,0.146,0.176,0.167,0.43,0.452,0.548,0.694,0.306,0.528,0.472,6,5,9,7,2,1,15,1,1,15,1,7,3,1,6,10,4,12,8,8,47,29,18,0.617,17.7,0.433,0.567,0.366,0.014,0.455,0.081,0.179,0.126,0.352,0.429,0.571,0.598,0.402,0.506,0.494,1,1,4,3,16,18,1,18,18,1,18,8,18,18,14,5,18,1,16,3,With
"Caboclo, Bruno",5,3,2,0.6,5.5,0.491,0.509,0.423,0,0.423,0.099,0.155,0.268,0.423,0.533,0.467,0.7,0.3,0.6,0.4,12,11,5,11,16,5,12,6,12,6,12,14,3,2,5,12,14,3,5,12,14,8,6,0.571,46.4,0.48,0.52,0.421,0.041,0.413,0.143,0.167,0.165,0.38,0.359,0.641,0.761,0.239,0.518,0.482,14,14,6,19,9,15,6,5,5,16,4,7,18,15,17,4,9,12,17,4,Without
"Carroll, DeMarre",6,3,3,0.5,15.9,0.469,0.531,0.418,0.042,0.427,0.138,0.155,0.197,0.377,0.38,0.62,0.824,0.176,0.56,0.44,11,11,7,14,10,11,6,8,3,5,4,15,6,11,10,7,4,13,6,11,10,6,4,0.6,38.9,0.481,0.519,0.426,0.043,0.418,0.14,0.156,0.167,0.383,0.365,0.635,0.771,0.229,0.526,0.474,16,16,4,17,11,9,12,4,4,14,5,15,17,8,16,5,3,18,12,9,Without
"Chandler, Tyson",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,1,17,17,17,17,17,12,17,14,17,17,17,17,17,17,15,17,17,17,11,6,0.647,48.3,0.48,0.52,0.415,0.033,0.422,0.133,0.163,0.169,0.382,0.38,0.62,0.746,0.254,0.528,0.472,1,1,6,4,1,10,11,11,13,13,12,9,10,12,10,11,11,10,10,11,Without
"Clemons, Chris",3,1,2,0.333,6.6,0.5,0.5,0.5,0,0.188,0,0.313,0.281,0.5,0.625,0.375,1,0,0.7,0.3,13,15,5,16,14,3,14,1,12,16,14,2,1,1,3,13,1,15,3,14,17,11,6,0.647,47.1,0.48,0.52,0.414,0.034,0.426,0.135,0.16,0.168,0.38,0.375,0.625,0.745,0.255,0.526,0.474,1,1,6,4,7,14,7,14,10,7,8,13,16,14,12,8,13,7,13,8,Without
"Covington, Robert",14,8,6,0.571,32.6,0.472,0.528,0.422,0.039,0.417,0.152,0.161,0.17,0.382,0.407,0.593,0.752,0.248,0.544,0.456,6,7,13,13,4,9,8,7,4,9,2,8,10,8,7,10,8,9,8,9,14,8,6,0.571,15.8,0.496,0.504,0.42,0.04,0.405,0.12,0.175,0.168,0.38,0.287,0.713,0.77,0.23,0.476,0.524,14,14,6,19,18,4,17,6,6,17,15,2,14,16,19,2,4,17,19,2,Without
"Frazier, Michael",3,2,1,0.667,8.5,0.415,0.585,0.39,0,0.366,0.049,0.244,0.22,0.39,0.625,0.375,0.8,0.2,0.692,0.308,13,13,1,5,12,14,3,13,12,13,13,4,5,6,3,13,6,11,4,13,17,11,6,0.647,46.8,0.482,0.518,0.416,0.034,0.423,0.134,0.161,0.168,0.382,0.375,0.625,0.745,0.255,0.525,0.475,1,1,6,4,8,6,15,10,9,10,10,11,12,13,12,8,12,9,15,6,Without
"Gordon, Eric",11,8,3,0.727,25.7,0.488,0.512,0.407,0.034,0.401,0.124,0.192,0.155,0.373,0.315,0.685,0.798,0.202,0.506,0.494,8,7,7,1,6,6,11,11,6,11,8,5,14,12,15,2,7,10,13,4,17,11,6,0.647,31.6,0.476,0.524,0.42,0.033,0.434,0.138,0.147,0.177,0.387,0.415,0.585,0.72,0.28,0.539,0.461,1,1,6,4,12,17,4,7,15,5,7,20,3,3,6,15,15,5,8,13,Without
"Green, Jeff",10,6,4,0.6,20.1,0.507,0.493,0.435,0.049,0.405,0.133,0.159,0.184,0.386,0.302,0.698,0.861,0.139,0.516,0.484,9,10,10,11,9,2,15,4,2,10,7,10,8,7,16,1,3,14,12,5,10,6,4,0.6,28.4,0.46,0.54,0.415,0.037,0.432,0.146,0.153,0.164,0.378,0.425,0.575,0.72,0.28,0.546,0.454,16,16,4,17,14,19,2,12,7,6,3,16,19,17,5,16,15,5,6,15,Without
"Harden, James",17,11,6,0.647,35.9,0.457,0.543,0.393,0.022,0.45,0.135,0.157,0.169,0.371,0.43,0.57,0.707,0.293,0.55,0.45,1,1,13,7,2,12,5,12,11,2,6,11,11,13,6,11,13,4,7,10,17,11,6,0.647,12.4,0.543,0.457,0.479,0.067,0.342,0.126,0.179,0.171,0.413,0.262,0.738,0.897,0.103,0.467,0.533,1,1,6,4,20,1,20,1,1,20,13,1,6,1,20,1,1,20,20,1,Without
"Hartenstein, Isaiah",3,2,1,0.667,6.1,0.412,0.588,0.37,0,0.333,0,0.296,0.259,0.37,0.8,0.2,0.667,0.333,0.75,0.25,13,13,1,5,15,15,2,15,12,14,14,3,4,14,1,16,15,2,2,15,17,11,6,0.647,47.2,0.482,0.518,0.416,0.034,0.423,0.134,0.161,0.168,0.382,0.375,0.625,0.747,0.253,0.526,0.474,1,1,6,4,6,8,13,9,11,9,9,12,13,11,14,7,10,11,14,7,Without
"House Jr., Danuel",17,11,6,0.647,29.1,0.488,0.512,0.423,0.026,0.42,0.156,0.157,0.168,0.397,0.388,0.612,0.735,0.265,0.526,0.474,1,1,13,7,5,7,10,5,10,7,1,12,12,5,9,8,9,8,11,6,17,11,6,0.647,19.2,0.468,0.532,0.404,0.043,0.425,0.1,0.171,0.172,0.361,0.369,0.631,0.763,0.237,0.531,0.469,1,1,6,4,17,18,3,16,3,8,17,3,5,19,15,6,8,13,9,12,Without
"Howard, William",2,1,1,0.5,6.6,0.364,0.636,0.333,0,0.333,0,0.333,0.278,0.333,0.667,0.333,1,0,0.8,0.2,16,15,1,14,13,16,1,16,12,14,14,1,2,16,2,15,1,15,1,16,17,11,6,0.647,47.5,0.482,0.518,0.416,0.033,0.423,0.134,0.161,0.168,0.382,0.378,0.622,0.745,0.255,0.526,0.474,1,1,6,4,5,7,14,8,12,11,11,10,11,9,11,10,13,7,11,10,Without
"McLemore, Ben",16,11,5,0.688,20.3,0.44,0.56,0.372,0.029,0.467,0.107,0.162,0.192,0.343,0.379,0.621,0.719,0.281,0.534,0.466,5,1,12,4,8,13,4,14,8,1,9,7,7,15,11,6,12,5,10,7,17,11,6,0.647,29.2,0.507,0.493,0.446,0.036,0.391,0.151,0.164,0.153,0.41,0.381,0.619,0.77,0.23,0.524,0.476,1,1,6,4,13,2,19,2,8,19,2,8,20,2,9,12,5,16,16,5,Without
"Rivers, Austin",17,11,6,0.647,22.9,0.477,0.523,0.416,0.036,0.429,0.105,0.155,0.171,0.38,0.348,0.652,0.728,0.272,0.503,0.497,1,1,13,7,7,8,9,9,5,4,10,13,9,10,12,5,10,7,15,2,17,11,6,0.647,25.4,0.483,0.517,0.414,0.031,0.416,0.158,0.17,0.168,0.383,0.409,0.591,0.764,0.236,0.552,0.448,1,1,6,4,15,5,16,13,16,15,1,4,15,7,7,14,7,14,5,16,Without
"Sefolosha, Thabo",10,7,3,0.7,12,0.498,0.502,0.445,0.033,0.419,0.1,0.136,0.15,0.412,0.328,0.672,0.643,0.357,0.45,0.55,9,9,7,2,11,4,13,3,7,8,11,16,16,3,14,3,16,1,16,1,17,11,6,0.647,41.2,0.477,0.523,0.41,0.033,0.423,0.139,0.168,0.173,0.377,0.39,0.61,0.765,0.235,0.543,0.457,1,1,6,4,10,16,5,15,14,12,6,6,4,18,8,13,6,15,7,14,Without
"Tucker, P.J.",17,11,6,0.647,32.7,0.469,0.531,0.409,0.027,0.431,0.137,0.16,0.158,0.382,0.407,0.593,0.724,0.276,0.538,0.462,1,1,13,7,3,10,7,10,9,3,5,9,13,9,8,9,11,6,9,8,17,11,6,0.647,15.6,0.503,0.497,0.428,0.046,0.404,0.124,0.168,0.193,0.382,0.329,0.671,0.795,0.205,0.509,0.491,1,1,6,4,19,3,18,3,2,18,14,5,1,10,18,3,2,19,18,3,Without
"Westbrook, Russell",13,9,4,0.692,36.2,0.538,0.462,0.454,0.053,0.379,0.15,0.167,0.154,0.401,0.341,0.659,0.803,0.197,0.506,0.494,7,6,10,3,1,1,16,2,1,12,3,6,15,4,13,4,5,12,14,3,17,11,6,0.647,20.6,0.397,0.603,0.36,0.005,0.482,0.108,0.157,0.191,0.356,0.45,0.55,0.684,0.316,0.56,0.44,1,1,6,4,16,20,1,20,20,1,16,14,2,20,1,20,20,1,1,20,Without
