SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
2019-20,1610612745,HOU,Houston Rockets,0021900963,2020-03-10T00:00:00,HOU vs. MIN,W,48,17,7,13,46,21,7,17,50,1,1,1,1,3,35,52,36,33,44,5,39,27
2019-20,1610612745,HOU,Houston Rockets,0021900953,2020-03-08T00:00:00,HOU vs. ORL,L,48,16,8,12,58,31,23,15,52,1,41,41,41,3,40,48,41,7,63,61,31,34
2019-20,1610612745,HOU,Houston Rockets,0021900940,2020-03-07T00:00:00,HOU @ CHA,L,48,23,12,8,40,22,3,13,40,1,41,41,41,3,10,30,56,46,48,1,23,3
2019-20,1610612745,HOU,Houston Rockets,0021900927,2020-03-05T00:00:00,HOU vs. LAC,L,48,20,17,18,52,13,19,21,46,1,41,41,41,3,23,10,16,16,13,52,51,13
2019-20,1610612745,HOU,Houston Rockets,0021900903,2020-03-02T00:00:00,HOU @ NYK,L,48,21,12,10,36,17,21,9,64,1,41,41,41,3,20,30,48,53,26,59,5,58
2019-20,1610612745,HOU,Houston Rockets,0021900892,2020-02-29T00:00:00,HOU @ BOS,W,53,14,14,16,46,15,7,16,48,1,1,1,1,2,52,18,23,33,21,5,35,21
2019-20,1610612745,HOU,Houston Rockets,0021900870,2020-02-26T00:00:00,HOU vs. MEM,W,48,25,19,23,48,26,18,16,54,1,1,1,1,3,8,8,7,26,59,47,35,41
2019-20,1610612745,HOU,Houston Rockets,0021900853,2020-02-24T00:00:00,HOU vs. NYK,W,48,22,3,26,52,11,19,15,50,1,1,1,1,3,14,63,3,16,8,52,31,27
2019-20,1610612745,HOU,Houston Rockets,0021900841,2020-02-22T00:00:00,HOU @ UTA,W,48,15,8,19,36,12,14,10,64,1,1,1,1,3,49,48,15,53,10,30,12,58
2019-20,1610612745,HOU,Houston Rockets,0021900825,2020-02-20T00:00:00,HOU @ GSW,W,48,31,10,20,36,17,12,23,60,1,1,1,1,3,1,39,10,53,26,24,54,51
2019-20,1610612745,HOU,Houston Rockets,0021900806,2020-02-11T00:00:00,HOU vs. BOS,W,48,17,9,17,38,13,11,24,46,1,1,1,1,3,35,44,21,50,13,18,56,13
2019-20,1610612745,HOU,Houston Rockets,0021900790,2020-02-09T00:00:00,HOU vs. UTA,L,48,21,2,12,54,12,16,3,48,1,41,41,41,3,20,64,41,13,10,38,1,21
2019-20,1610612745,HOU,Houston Rockets,0021900774,2020-02-07T00:00:00,HOU @ PHX,L,48,19,11,9,36,22,11,22,50,1,41,41,41,3,27,37,54,53,48,18,52,27
2019-20,1610612745,HOU,Houston Rockets,0021900768,2020-02-06T00:00:00,HOU @ LAL,W,48,13,6,26,40,20,11,18,62,1,1,1,1,3,54,58,3,46,41,18,43,56
2019-20,1610612745,HOU,Houston Rockets,0021900752,2020-02-04T00:00:00,HOU vs. CHA,W,48,20,14,10,46,5,22,10,50,1,1,1,1,3,23,18,48,33,2,60,12,27
2019-20,1610612745,HOU,Houston Rockets,0021900738,2020-02-02T00:00:00,HOU vs. NOP,W,48,29,10,7,48,4,18,19,58,1,1,1,1,3,4,39,57,26,1,47,48,50
2019-20,1610612745,HOU,Houston Rockets,0021900722,2020-01-31T00:00:00,HOU vs. DAL,W,48,14,16,18,48,10,20,8,50,1,1,1,1,3,52,13,16,26,7,56,3,27
2019-20,1610612745,HOU,Houston Rockets,0021900712,2020-01-29T00:00:00,HOU @ POR,L,48,23,12,16,42,6,13,15,50,1,41,41,41,3,10,30,23,44,3,26,31,27
2019-20,1610612745,HOU,Houston Rockets,0021900698,2020-01-27T00:00:00,HOU @ UTA,W,48,26,20,18,40,17,9,12,56,1,1,1,1,3,5,6,16,46,26,12,18,47
2019-20,1610612745,HOU,Houston Rockets,0021900685,2020-01-26T00:00:00,HOU @ DEN,L,48,10,9,11,46,14,18,6,54,1,41,41,41,3,60,44,46,33,16,47,2,41
2019-20,1610612745,HOU,Houston Rockets,0021900675,2020-01-24T00:00:00,HOU @ MIN,W,48,23,6,10,62,15,8,18,68,1,1,1,1,3,10,58,48,3,21,9,43,64
2019-20,1610612745,HOU,Houston Rockets,0021900662,2020-01-22T00:00:00,HOU vs. DEN,W,48,16,16,24,54,22,15,22,56,1,1,1,1,3,40,13,5,13,48,35,52,47
2019-20,1610612745,HOU,Houston Rockets,0021900645,2020-01-20T00:00:00,HOU vs. OKC,L,48,22,7,13,64,18,9,13,44,1,41,41,41,3,14,52,36,2,35,12,23,6
2019-20,1610612745,HOU,Houston Rockets,0021900633,2020-01-18T00:00:00,HOU vs. LAL,L,48,19,4,15,52,22,24,14,54,1,41,41,41,3,27,62,27,16,48,64,29,41
2019-20,1610612745,HOU,Houston Rockets,0021900611,2020-01-15T00:00:00,HOU vs. POR,L,48,6,15,9,40,17,18,8,44,1,41,41,41,3,64,16,54,46,26,47,3,6
2019-20,1610612745,HOU,Houston Rockets,0021900600,2020-01-14T00:00:00,HOU @ MEM,L,48,8,13,7,44,15,9,25,56,1,41,41,41,3,63,26,57,40,21,12,58,47
2019-20,1610612745,HOU,Houston Rockets,0021900577,2020-01-11T00:00:00,HOU vs. MIN,W,48,22,8,15,58,26,15,11,46,1,1,1,1,3,14,48,27,7,59,35,14,13
2019-20,1610612745,HOU,Houston Rockets,0021900566,2020-01-09T00:00:00,HOU @ OKC,L,48,11,6,6,38,16,8,12,48,1,41,41,41,3,58,58,59,50,24,9,18,21
2019-20,1610612745,HOU,Houston Rockets,0021900558,2020-01-08T00:00:00,HOU @ ATL,W,48,10,14,16,48,20,23,9,46,1,1,1,1,3,60,18,23,26,41,61,5,13
2019-20,1610612745,HOU,Houston Rockets,0021900520,2020-01-03T00:00:00,HOU vs. PHI,W,48,16,9,20,52,14,13,18,60,1,1,1,1,3,40,44,10,16,16,26,43,51
2019-20,1610612745,HOU,Houston Rockets,0021900501,2019-12-31T00:00:00,HOU vs. DEN,W,48,22,15,24,60,19,20,9,60,1,1,1,1,3,14,16,5,4,37,56,5,51
2019-20,1610612745,HOU,Houston Rockets,0021900488,2019-12-29T00:00:00,HOU @ NOP,L,48,11,10,4,52,23,23,28,52,1,41,41,41,3,58,39,63,16,54,61,64,34
2019-20,1610612745,HOU,Houston Rockets,0021900478,2019-12-28T00:00:00,HOU vs. BKN,W,48,16,14,6,48,8,16,14,48,1,1,1,1,3,40,18,59,26,6,38,29,21
2019-20,1610612745,HOU,Houston Rockets,0021900457,2019-12-25T00:00:00,HOU @ GSW,L,48,13,12,14,34,12,13,18,52,1,41,41,41,3,54,30,35,58,10,26,43,34
2019-20,1610612745,HOU,Houston Rockets,0021900453,2019-12-23T00:00:00,HOU @ SAC,W,48,19,9,15,46,17,14,23,62,1,1,1,1,3,27,44,27,33,26,30,54,56
2019-20,1610612745,HOU,Houston Rockets,0021900437,2019-12-21T00:00:00,HOU @ PHX,W,48,16,6,13,50,14,14,11,64,1,1,1,1,3,40,58,36,25,16,30,14,58
2019-20,1610612745,HOU,Houston Rockets,0021900419,2019-12-19T00:00:00,HOU @ LAC,W,48,30,12,15,52,24,7,16,44,1,1,1,1,3,2,30,27,16,57,5,35,6
2019-20,1610612745,HOU,Houston Rockets,0021900396,2019-12-16T00:00:00,HOU vs. SAS,W,48,15,14,13,56,21,6,12,34,1,1,1,1,3,49,18,36,11,44,4,18,1
2019-20,1610612745,HOU,Houston Rockets,0021900386,2019-12-14T00:00:00,HOU vs. DET,L,48,19,17,6,54,16,11,26,48,1,41,41,41,3,27,10,59,13,24,18,62,21
2019-20,1610612745,HOU,Houston Rockets,0021900371,2019-12-13T00:00:00,HOU @ ORL,W,48,12,14,15,46,17,10,11,44,1,1,1,1,3,57,18,27,33,26,15,14,6
2019-20,1610612745,HOU,Houston Rockets,0021900356,2019-12-11T00:00:00,HOU @ CLE,W,48,30,10,20,48,23,15,13,54,1,1,1,1,3,2,39,10,26,54,35,23,41
2019-20,1610612745,HOU,Houston Rockets,0021900346,2019-12-09T00:00:00,HOU vs. SAC,L,48,13,7,4,42,21,12,12,34,1,41,41,41,3,54,52,63,44,44,24,18,1
2019-20,1610612745,HOU,Houston Rockets,0021900333,2019-12-07T00:00:00,HOU vs. PHX,W,48,18,7,18,58,17,17,9,44,1,1,1,1,3,32,52,16,7,26,46,5,6
2019-20,1610612745,HOU,Houston Rockets,0021900318,2019-12-05T00:00:00,HOU @ TOR,W,48,26,24,23,28,22,16,19,50,1,1,1,1,3,5,3,7,64,48,38,48,27
2019-20,1610612745,HOU,Houston Rockets,0021900303,2019-12-03T00:00:00,HOU @ SAS,L,58,16,26,18,44,14,14,17,66,1,41,41,41,1,40,2,16,40,16,30,39,62
2019-20,1610612745,HOU,Houston Rockets,0021900282,2019-11-30T00:00:00,HOU vs. ATL,W,48,19,20,12,52,17,3,16,46,1,1,1,1,3,27,6,41,16,26,1,35,13
2019-20,1610612745,HOU,Houston Rockets,0021900259,2019-11-27T00:00:00,HOU vs. MIA,W,48,22,14,15,34,17,8,13,40,1,1,1,1,3,14,18,27,58,26,9,23,3
2019-20,1610612745,HOU,Houston Rockets,0021900235,2019-11-24T00:00:00,HOU vs. DAL,L,48,18,13,20,66,19,16,18,60,1,41,41,41,3,32,26,10,1,37,38,43,51
2019-20,1610612745,HOU,Houston Rockets,0021900224,2019-11-22T00:00:00,HOU @ LAC,L,48,16,7,15,46,19,16,24,52,1,41,41,41,3,40,52,27,33,37,38,56,34
2019-20,1610612745,HOU,Houston Rockets,0021900211,2019-11-20T00:00:00,HOU @ DEN,L,48,17,8,20,38,32,19,20,60,1,41,41,41,3,35,48,10,50,64,52,50,51
2019-20,1610612745,HOU,Houston Rockets,0021900193,2019-11-18T00:00:00,HOU vs. POR,W,48,23,23,11,58,19,19,11,46,1,1,1,1,3,10,4,46,7,37,52,14,13
2019-20,1610612745,HOU,Houston Rockets,0021900179,2019-11-16T00:00:00,HOU @ MIN,W,48,21,17,13,48,11,16,15,44,1,1,1,1,3,20,10,36,26,8,38,31,6
2019-20,1610612745,HOU,Houston Rockets,0021900169,2019-11-15T00:00:00,HOU vs. IND,W,48,16,13,10,44,7,7,13,52,1,1,1,1,3,40,26,48,40,4,5,23,34
2019-20,1610612745,HOU,Houston Rockets,0021900157,2019-11-13T00:00:00,HOU vs. LAC,W,48,16,10,10,34,7,14,9,44,1,1,1,1,3,40,39,48,58,4,30,5,6
2019-20,1610612745,HOU,Houston Rockets,0021900142,2019-11-11T00:00:00,HOU @ NOP,W,48,15,11,16,52,18,18,26,52,1,1,1,1,3,49,37,23,16,35,47,62,34
2019-20,1610612745,HOU,Houston Rockets,0021900129,2019-11-09T00:00:00,HOU @ CHI,W,48,20,12,28,34,23,10,25,64,1,1,1,1,3,23,30,1,58,54,15,58,58
2019-20,1610612745,HOU,Houston Rockets,0021900107,2019-11-06T00:00:00,HOU vs. GSW,W,48,17,23,12,44,20,16,9,40,1,1,1,1,3,35,4,41,40,41,38,5,3
2019-20,1610612745,HOU,Houston Rockets,0021900093,2019-11-04T00:00:00,HOU @ MEM,W,48,17,16,12,36,29,10,25,66,1,1,1,1,3,35,13,41,53,62,15,58,62
2019-20,1610612745,HOU,Houston Rockets,0021900086,2019-11-03T00:00:00,HOU @ MIA,L,48,22,7,6,30,27,11,25,52,1,41,41,41,3,14,52,59,63,61,18,58,34
2019-20,1610612745,HOU,Houston Rockets,0021900069,2019-11-01T00:00:00,HOU @ BKN,L,48,25,12,15,52,22,5,17,46,1,41,41,41,3,8,30,27,16,48,3,39,13
2019-20,1610612745,HOU,Houston Rockets,0021900061,2019-10-30T00:00:00,HOU @ WAS,W,48,26,28,21,60,14,13,9,54,1,1,1,1,3,5,1,9,4,16,26,5,41
2019-20,1610612745,HOU,Houston Rockets,0021900045,2019-10-28T00:00:00,HOU vs. OKC,W,48,18,14,10,56,13,20,12,54,1,1,1,1,3,32,18,48,11,13,56,18,41
2019-20,1610612745,HOU,Houston Rockets,0021900032,2019-10-26T00:00:00,HOU vs. NOP,W,48,20,19,17,60,25,16,13,48,1,1,1,1,3,23,8,21,4,58,38,23,21
2019-20,1610612745,HOU,Houston Rockets,0021900015,2019-10-24T00:00:00,HOU vs. MIL,L,48,10,13,27,34,21,11,17,46,1,41,41,41,3,60,26,2,58,44,18,39,13
