y,x,result,season
305,265,Missed,2020
58,265,Missed,2020
99,243,Made,2020
90,218,Made,2020
251,260,Made,2020
313,222,Made,2020
84,207,Missed,2020
273,363,Missed,2020
61,257,Missed,2020
240,60,Made,2020
67,224,Made,2020
54,239,Made,2020
307,226,Missed,2020
113,367,Made,2020
63,242,Made,2020
256,210,Made,2020
130,239,Made,2020
323,288,Missed,2020
84,224,Missed,2020
68,238,Made,2020
68,241,Made,2020
66,244,Made,2020
67,238,Made,2020
312,171,Missed,2020
49,239,Made,2020
248,66,Missed,2020
240,225,Made,2020
231,241,Missed,2020
85,215,Made,2020
300,308,Missed,2020
59,248,Made,2020
299,135,Missed,2020
52,163,Missed,2020
59,246,Made,2020
58,242,Made,2020
47,240,Made,2020
64,239,Made,2020
188,239,Missed,2020
51,114,Missed,2020
67,251,Made,2020
59,246,Made,2020
82,235,Missed,2020
98,259,Missed,2020
74,257,Made,2020
236,277,Missed,2020
62,248,Missed,2020
143,238,Missed,2020
73,231,Made,2020
294,132,Missed,2020
149,299,Missed,2020
336,248,Missed,2020
66,234,Made,2020
80,273,Missed,2020
88,237,Made,2020
54,239,Made,2020
103,162,Missed,2020
62,233,Missed,2020
144,471,Missed,2020
72,248,Made,2020
63,234,Made,2020
72,218,Missed,2020
316,184,Missed,2020
79,253,Made,2020
70,257,Made,2020
80,249,Made,2020
72,247,Made,2020
61,238,Made,2020
263,99,Missed,2020
265,68,Missed,2020
74,233,Made,2020
162,248,Made,2020
70,218,Made,2020
79,211,Missed,2020
131,189,Missed,2020
71,267,Made,2020
88,258,Made,2020
79,260,Missed,2020
289,317,Missed,2020
82,253,Made,2020
136,218,Made,2020
58,239,Made,2020
277,377,Made,2020
75,244,Made,2020
59,234,Made,2020
242,243,Missed,2020
83,-3,Missed,2020
54,231,Made,2020
149,278,Missed,2020
183,255,Made,2020
68,238,Made,2020
111,278,Made,2020
70,232,Made,2020
67,252,Made,2020
133,298,Missed,2020
51,247,Made,2020
62,247,Made,2020
74,236,Missed,2020
69,241,Made,2020
98,235,Missed,2020
300,110,Made,2020
64,244,Made,2020
54,248,Made,2020
56,252,Missed,2020
66,243,Made,2020
69,241,Missed,2020
80,237,Made,2020
47,240,Made,2020
136,247,Made,2020
69,232,Made,2020
56,236,Made,2020
248,403,Missed,2020
66,234,Made,2020
61,229,Made,2020
66,246,Made,2020
69,244,Made,2020
307,183,Missed,2020
272,257,Made,2020
249,265,Made,2020
312,243,Missed,2020
72,246,Made,2020
71,242,Made,2020
63,109,Missed,2020
66,227,Missed,2020
56,243,Made,2020
61,260,Missed,2020
227,346,Missed,2020
271,114,Missed,2020
47,240,Made,2020
71,96,Missed,2020
298,264,Made,2020
114,251,Missed,2020
260,401,Missed,2020
238,258,Missed,2020
60,235,Made,2020
293,170,Made,2020
319,243,Made,2020
244,246,Missed,2020
64,256,Made,2020
318,237,Missed,2020
47,240,Made,2020
300,164,Made,2020
63,209,Made,2020
302,264,Missed,2020
304,293,Missed,2020
228,433,Missed,2020
140,259,Missed,2020
69,215,Missed,2020
92,239,Missed,2020
68,226,Missed,2020
64,259,Made,2020
254,107,Made,2020
58,254,Made,2020
83,229,Made,2020
123,273,Made,2020
72,221,Missed,2020
73,249,Made,2020
56,265,Made,2020
110,242,Missed,2020
164,249,Made,2020
310,244,Made,2020
72,239,Made,2020
89,250,Missed,2020
66,265,Missed,2020
215,51,Missed,2020
252,247,Made,2020
70,289,Missed,2020
51,213,Missed,2020
82,215,Missed,2020
66,249,Made,2020
135,292,Missed,2020
67,253,Made,2020
323,207,Made,2020
78,239,Made,2020
69,248,Made,2020
67,237,Made,2020
90,223,Missed,2020
62,232,Made,2020
63,241,Made,2020
300,329,Made,2020
52,237,Made,2020
61,247,Made,2020
69,246,Made,2020
325,236,Missed,2020
305,265,Missed,2020
58,265,Missed,2020
99,243,Made,2020
90,218,Made,2020
251,260,Made,2020
313,222,Made,2020
84,207,Missed,2020
273,363,Missed,2020
61,257,Missed,2020
240,60,Made,2020
67,224,Made,2020
54,239,Made,2020
307,226,Missed,2020
113,367,Made,2020
63,242,Made,2020
256,210,Made,2020
130,239,Made,2020
323,288,Missed,2020
84,224,Missed,2020
68,238,Made,2020
68,241,Made,2020
66,244,Made,2020
67,238,Made,2020
312,171,Missed,2020
49,239,Made,2020
248,66,Missed,2020
240,225,Made,2020
231,241,Missed,2020
85,215,Made,2020
300,308,Missed,2020
59,248,Made,2020
299,135,Missed,2020
52,163,Missed,2020
59,246,Made,2020
58,242,Made,2020
47,240,Made,2020
64,239,Made,2020
188,239,Missed,2020
51,114,Missed,2020
67,251,Made,2020
59,246,Made,2020
82,235,Missed,2020
98,259,Missed,2020
74,257,Made,2020
236,277,Missed,2020
62,248,Missed,2020
143,238,Missed,2020
73,231,Made,2020
294,132,Missed,2020
149,299,Missed,2020
336,248,Missed,2020
66,234,Made,2020
80,273,Missed,2020
88,237,Made,2020
54,239,Made,2020
103,162,Missed,2020
62,233,Missed,2020
144,471,Missed,2020
72,248,Made,2020
63,234,Made,2020
72,218,Missed,2020
316,184,Missed,2020
79,253,Made,2020
70,257,Made,2020
80,249,Made,2020
72,247,Made,2020
61,238,Made,2020
263,99,Missed,2020
265,68,Missed,2020
74,233,Made,2020
162,248,Made,2020
70,218,Made,2020
79,211,Missed,2020
131,189,Missed,2020
71,267,Made,2020
88,258,Made,2020
79,260,Missed,2020
289,317,Missed,2020
82,253,Made,2020
136,218,Made,2020
58,239,Made,2020
277,377,Made,2020
75,244,Made,2020
59,234,Made,2020
242,243,Missed,2020
83,-3,Missed,2020
54,231,Made,2020
149,278,Missed,2020
183,255,Made,2020
68,238,Made,2020
111,278,Made,2020
70,232,Made,2020
67,252,Made,2020
133,298,Missed,2020
51,247,Made,2020
62,247,Made,2020
74,236,Missed,2020
69,241,Made,2020
98,235,Missed,2020
300,110,Made,2020
64,244,Made,2020
54,248,Made,2020
56,252,Missed,2020
66,243,Made,2020
69,241,Missed,2020
80,237,Made,2020
47,240,Made,2020
136,247,Made,2020
69,232,Made,2020
56,236,Made,2020
248,403,Missed,2020
66,234,Made,2020
61,229,Made,2020
66,246,Made,2020
69,244,Made,2020
307,183,Missed,2020
272,257,Made,2020
249,265,Made,2020
312,243,Missed,2020
72,246,Made,2020
71,242,Made,2020
63,109,Missed,2020
66,227,Missed,2020
56,243,Made,2020
61,260,Missed,2020
227,346,Missed,2020
271,114,Missed,2020
47,240,Made,2020
71,96,Missed,2020
298,264,Made,2020
114,251,Missed,2020
260,401,Missed,2020
238,258,Missed,2020
60,235,Made,2020
293,170,Made,2020
319,243,Made,2020
244,246,Missed,2020
64,256,Made,2020
318,237,Missed,2020
47,240,Made,2020
300,164,Made,2020
63,209,Made,2020
302,264,Missed,2020
304,293,Missed,2020
228,433,Missed,2020
140,259,Missed,2020
69,215,Missed,2020
92,239,Missed,2020
68,226,Missed,2020
64,259,Made,2020
254,107,Made,2020
58,254,Made,2020
83,229,Made,2020
123,273,Made,2020
72,221,Missed,2020
73,249,Made,2020
56,265,Made,2020
110,242,Missed,2020
164,249,Made,2020
310,244,Made,2020
72,239,Made,2020
89,250,Missed,2020
66,265,Missed,2020
215,51,Missed,2020
252,247,Made,2020
70,289,Missed,2020
51,213,Missed,2020
82,215,Missed,2020
66,249,Made,2020
135,292,Missed,2020
67,253,Made,2020
323,207,Made,2020
78,239,Made,2020
69,248,Made,2020
67,237,Made,2020
90,223,Missed,2020
62,232,Made,2020
63,241,Made,2020
300,329,Made,2020
52,237,Made,2020
61,247,Made,2020
69,246,Made,2020
325,236,Missed,2020
305,265,Missed,2020
58,265,Missed,2020
99,243,Made,2020
90,218,Made,2020
251,260,Made,2020
313,222,Made,2020
84,207,Missed,2020
273,363,Missed,2020
61,257,Missed,2020
240,60,Made,2020
67,224,Made,2020
54,239,Made,2020
307,226,Missed,2020
113,367,Made,2020
63,242,Made,2020
256,210,Made,2020
130,239,Made,2020
323,288,Missed,2020
84,224,Missed,2020
68,238,Made,2020
68,241,Made,2020
66,244,Made,2020
67,238,Made,2020
312,171,Missed,2020
49,239,Made,2020
248,66,Missed,2020
240,225,Made,2020
231,241,Missed,2020
85,215,Made,2020
300,308,Missed,2020
59,248,Made,2020
299,135,Missed,2020
52,163,Missed,2020
59,246,Made,2020
58,242,Made,2020
47,240,Made,2020
64,239,Made,2020
188,239,Missed,2020
51,114,Missed,2020
67,251,Made,2020
59,246,Made,2020
82,235,Missed,2020
98,259,Missed,2020
74,257,Made,2020
236,277,Missed,2020
62,248,Missed,2020
143,238,Missed,2020
73,231,Made,2020
294,132,Missed,2020
149,299,Missed,2020
336,248,Missed,2020
66,234,Made,2020
80,273,Missed,2020
88,237,Made,2020
54,239,Made,2020
103,162,Missed,2020
62,233,Missed,2020
144,471,Missed,2020
72,248,Made,2020
63,234,Made,2020
72,218,Missed,2020
316,184,Missed,2020
79,253,Made,2020
70,257,Made,2020
80,249,Made,2020
72,247,Made,2020
61,238,Made,2020
263,99,Missed,2020
265,68,Missed,2020
74,233,Made,2020
162,248,Made,2020
70,218,Made,2020
79,211,Missed,2020
131,189,Missed,2020
71,267,Made,2020
88,258,Made,2020
79,260,Missed,2020
289,317,Missed,2020
82,253,Made,2020
136,218,Made,2020
58,239,Made,2020
277,377,Made,2020
75,244,Made,2020
59,234,Made,2020
242,243,Missed,2020
83,-3,Missed,2020
54,231,Made,2020
149,278,Missed,2020
183,255,Made,2020
68,238,Made,2020
111,278,Made,2020
70,232,Made,2020
67,252,Made,2020
133,298,Missed,2020
51,247,Made,2020
62,247,Made,2020
74,236,Missed,2020
69,241,Made,2020
98,235,Missed,2020
300,110,Made,2020
64,244,Made,2020
54,248,Made,2020
56,252,Missed,2020
66,243,Made,2020
69,241,Missed,2020
80,237,Made,2020
47,240,Made,2020
136,247,Made,2020
69,232,Made,2020
56,236,Made,2020
248,403,Missed,2020
66,234,Made,2020
61,229,Made,2020
66,246,Made,2020
69,244,Made,2020
307,183,Missed,2020
272,257,Made,2020
249,265,Made,2020
312,243,Missed,2020
72,246,Made,2020
71,242,Made,2020
63,109,Missed,2020
66,227,Missed,2020
56,243,Made,2020
61,260,Missed,2020
227,346,Missed,2020
271,114,Missed,2020
47,240,Made,2020
71,96,Missed,2020
298,264,Made,2020
114,251,Missed,2020
260,401,Missed,2020
238,258,Missed,2020
60,235,Made,2020
293,170,Made,2020
319,243,Made,2020
244,246,Missed,2020
64,256,Made,2020
318,237,Missed,2020
47,240,Made,2020
300,164,Made,2020
63,209,Made,2020
302,264,Missed,2020
304,293,Missed,2020
228,433,Missed,2020
140,259,Missed,2020
69,215,Missed,2020
92,239,Missed,2020
68,226,Missed,2020
64,259,Made,2020
254,107,Made,2020
58,254,Made,2020
83,229,Made,2020
123,273,Made,2020
72,221,Missed,2020
73,249,Made,2020
56,265,Made,2020
110,242,Missed,2020
164,249,Made,2020
310,244,Made,2020
72,239,Made,2020
89,250,Missed,2020
66,265,Missed,2020
215,51,Missed,2020
252,247,Made,2020
70,289,Missed,2020
51,213,Missed,2020
82,215,Missed,2020
66,249,Made,2020
135,292,Missed,2020
67,253,Made,2020
323,207,Made,2020
78,239,Made,2020
69,248,Made,2020
67,237,Made,2020
90,223,Missed,2020
62,232,Made,2020
63,241,Made,2020
300,329,Made,2020
52,237,Made,2020
61,247,Made,2020
69,246,Made,2020
325,236,Missed,2020
305,265,Missed,2020
58,265,Missed,2020
99,243,Made,2020
90,218,Made,2020
251,260,Made,2020
313,222,Made,2020
84,207,Missed,2020
273,363,Missed,2020
61,257,Missed,2020
240,60,Made,2020
67,224,Made,2020
54,239,Made,2020
307,226,Missed,2020
113,367,Made,2020
63,242,Made,2020
256,210,Made,2020
130,239,Made,2020
323,288,Missed,2020
84,224,Missed,2020
68,238,Made,2020
68,241,Made,2020
66,244,Made,2020
67,238,Made,2020
312,171,Missed,2020
49,239,Made,2020
248,66,Missed,2020
240,225,Made,2020
231,241,Missed,2020
85,215,Made,2020
300,308,Missed,2020
59,248,Made,2020
299,135,Missed,2020
52,163,Missed,2020
59,246,Made,2020
58,242,Made,2020
47,240,Made,2020
64,239,Made,2020
188,239,Missed,2020
51,114,Missed,2020
67,251,Made,2020
59,246,Made,2020
82,235,Missed,2020
98,259,Missed,2020
74,257,Made,2020
236,277,Missed,2020
62,248,Missed,2020
143,238,Missed,2020
73,231,Made,2020
294,132,Missed,2020
149,299,Missed,2020
336,248,Missed,2020
66,234,Made,2020
80,273,Missed,2020
88,237,Made,2020
54,239,Made,2020
103,162,Missed,2020
62,233,Missed,2020
144,471,Missed,2020
72,248,Made,2020
63,234,Made,2020
72,218,Missed,2020
316,184,Missed,2020
79,253,Made,2020
70,257,Made,2020
80,249,Made,2020
72,247,Made,2020
61,238,Made,2020
263,99,Missed,2020
265,68,Missed,2020
74,233,Made,2020
162,248,Made,2020
70,218,Made,2020
79,211,Missed,2020
131,189,Missed,2020
71,267,Made,2020
88,258,Made,2020
79,260,Missed,2020
289,317,Missed,2020
82,253,Made,2020
136,218,Made,2020
58,239,Made,2020
277,377,Made,2020
75,244,Made,2020
59,234,Made,2020
242,243,Missed,2020
83,-3,Missed,2020
54,231,Made,2020
149,278,Missed,2020
183,255,Made,2020
68,238,Made,2020
111,278,Made,2020
70,232,Made,2020
67,252,Made,2020
133,298,Missed,2020
51,247,Made,2020
62,247,Made,2020
74,236,Missed,2020
69,241,Made,2020
98,235,Missed,2020
300,110,Made,2020
64,244,Made,2020
54,248,Made,2020
56,252,Missed,2020
66,243,Made,2020
69,241,Missed,2020
80,237,Made,2020
47,240,Made,2020
136,247,Made,2020
69,232,Made,2020
56,236,Made,2020
248,403,Missed,2020
66,234,Made,2020
61,229,Made,2020
66,246,Made,2020
69,244,Made,2020
307,183,Missed,2020
272,257,Made,2020
249,265,Made,2020
312,243,Missed,2020
72,246,Made,2020
71,242,Made,2020
63,109,Missed,2020
66,227,Missed,2020
56,243,Made,2020
61,260,Missed,2020
227,346,Missed,2020
271,114,Missed,2020
47,240,Made,2020
71,96,Missed,2020
298,264,Made,2020
114,251,Missed,2020
260,401,Missed,2020
238,258,Missed,2020
60,235,Made,2020
293,170,Made,2020
319,243,Made,2020
244,246,Missed,2020
64,256,Made,2020
318,237,Missed,2020
47,240,Made,2020
300,164,Made,2020
63,209,Made,2020
302,264,Missed,2020
304,293,Missed,2020
228,433,Missed,2020
140,259,Missed,2020
69,215,Missed,2020
92,239,Missed,2020
68,226,Missed,2020
64,259,Made,2020
254,107,Made,2020
58,254,Made,2020
83,229,Made,2020
123,273,Made,2020
72,221,Missed,2020
73,249,Made,2020
56,265,Made,2020
110,242,Missed,2020
164,249,Made,2020
310,244,Made,2020
72,239,Made,2020
89,250,Missed,2020
66,265,Missed,2020
215,51,Missed,2020
252,247,Made,2020
70,289,Missed,2020
51,213,Missed,2020
82,215,Missed,2020
66,249,Made,2020
135,292,Missed,2020
67,253,Made,2020
323,207,Made,2020
78,239,Made,2020
69,248,Made,2020
67,237,Made,2020
90,223,Missed,2020
62,232,Made,2020
63,241,Made,2020
300,329,Made,2020
52,237,Made,2020
61,247,Made,2020
69,246,Made,2020
325,236,Missed,2020
305,265,Missed,2020
58,265,Missed,2020
99,243,Made,2020
90,218,Made,2020
251,260,Made,2020
313,222,Made,2020
84,207,Missed,2020
273,363,Missed,2020
61,257,Missed,2020
240,60,Made,2020
67,224,Made,2020
54,239,Made,2020
307,226,Missed,2020
113,367,Made,2020
63,242,Made,2020
256,210,Made,2020
130,239,Made,2020
323,288,Missed,2020
84,224,Missed,2020
68,238,Made,2020
68,241,Made,2020
66,244,Made,2020
67,238,Made,2020
312,171,Missed,2020
49,239,Made,2020
248,66,Missed,2020
240,225,Made,2020
231,241,Missed,2020
85,215,Made,2020
300,308,Missed,2020
59,248,Made,2020
299,135,Missed,2020
52,163,Missed,2020
59,246,Made,2020
58,242,Made,2020
47,240,Made,2020
64,239,Made,2020
188,239,Missed,2020
51,114,Missed,2020
67,251,Made,2020
59,246,Made,2020
82,235,Missed,2020
98,259,Missed,2020
74,257,Made,2020
236,277,Missed,2020
62,248,Missed,2020
143,238,Missed,2020
73,231,Made,2020
294,132,Missed,2020
149,299,Missed,2020
336,248,Missed,2020
66,234,Made,2020
80,273,Missed,2020
88,237,Made,2020
54,239,Made,2020
103,162,Missed,2020
62,233,Missed,2020
144,471,Missed,2020
72,248,Made,2020
63,234,Made,2020
72,218,Missed,2020
316,184,Missed,2020
79,253,Made,2020
70,257,Made,2020
80,249,Made,2020
72,247,Made,2020
61,238,Made,2020
263,99,Missed,2020
265,68,Missed,2020
74,233,Made,2020
162,248,Made,2020
70,218,Made,2020
79,211,Missed,2020
131,189,Missed,2020
71,267,Made,2020
88,258,Made,2020
79,260,Missed,2020
289,317,Missed,2020
82,253,Made,2020
136,218,Made,2020
58,239,Made,2020
277,377,Made,2020
75,244,Made,2020
59,234,Made,2020
242,243,Missed,2020
83,-3,Missed,2020
54,231,Made,2020
149,278,Missed,2020
183,255,Made,2020
68,238,Made,2020
111,278,Made,2020
70,232,Made,2020
67,252,Made,2020
133,298,Missed,2020
51,247,Made,2020
62,247,Made,2020
74,236,Missed,2020
69,241,Made,2020
98,235,Missed,2020
300,110,Made,2020
64,244,Made,2020
54,248,Made,2020
56,252,Missed,2020
66,243,Made,2020
69,241,Missed,2020
80,237,Made,2020
47,240,Made,2020
136,247,Made,2020
69,232,Made,2020
56,236,Made,2020
248,403,Missed,2020
66,234,Made,2020
61,229,Made,2020
66,246,Made,2020
69,244,Made,2020
307,183,Missed,2020
272,257,Made,2020
249,265,Made,2020
312,243,Missed,2020
72,246,Made,2020
71,242,Made,2020
63,109,Missed,2020
66,227,Missed,2020
56,243,Made,2020
61,260,Missed,2020
227,346,Missed,2020
271,114,Missed,2020
47,240,Made,2020
71,96,Missed,2020
298,264,Made,2020
114,251,Missed,2020
260,401,Missed,2020
238,258,Missed,2020
60,235,Made,2020
293,170,Made,2020
319,243,Made,2020
244,246,Missed,2020
64,256,Made,2020
318,237,Missed,2020
47,240,Made,2020
300,164,Made,2020
63,209,Made,2020
302,264,Missed,2020
304,293,Missed,2020
228,433,Missed,2020
140,259,Missed,2020
69,215,Missed,2020
92,239,Missed,2020
68,226,Missed,2020
64,259,Made,2020
254,107,Made,2020
58,254,Made,2020
83,229,Made,2020
123,273,Made,2020
72,221,Missed,2020
73,249,Made,2020
56,265,Made,2020
110,242,Missed,2020
164,249,Made,2020
310,244,Made,2020
72,239,Made,2020
89,250,Missed,2020
66,265,Missed,2020
215,51,Missed,2020
252,247,Made,2020
70,289,Missed,2020
51,213,Missed,2020
82,215,Missed,2020
66,249,Made,2020
135,292,Missed,2020
67,253,Made,2020
323,207,Made,2020
78,239,Made,2020
69,248,Made,2020
67,237,Made,2020
90,223,Missed,2020
62,232,Made,2020
63,241,Made,2020
300,329,Made,2020
52,237,Made,2020
61,247,Made,2020
69,246,Made,2020
325,236,Missed,2020
